Scenario,Year,Location,Stock/ID,Layer 1,Layer 2,Layer 3,Layer 4,parameterCode,Value,UoM,DQS,count_value,min_value,max_value
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Ag,e-f/s,0.0005,wt%,2,7,0.0002,0.0022
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Al,e-f/s,7.2765,wt%,2,12,3.8400,13.0600
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,As,e-f/s,0.0166,wt%,2,17,0.0015,0.1600
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Au,e-f/s,0.0001,wt%,2,2,0.0000,0.0002
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Bi,e-f/s,0.0000,wt%,2,7,0.0000,0.0002
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Ca,e-f/s,1.0973,wt%,3,12,0.5900,20.9300
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Cd,e-f/s,0.0001,wt%,2,7,0.0001,0.0005
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Ce,e-f/s,0.0117,wt%,2,2,0.0110,0.0129
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Co,e-f/s,0.0502,wt%,2,8,0.0346,0.1446
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Cu,e-f/s,0.5518,wt%,2,17,0.2687,1.3400
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Dy,e-f/s,0.0006,wt%,2,2,0.0006,0.0007
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Er,e-f/s,0.0003,wt%,2,2,0.0003,0.0004
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Eu,e-f/s,0.0002,wt%,2,2,0.0002,0.0003
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Fe,e-f/s,47.5316,wt%,3,13,6.2000,56.8200
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Gd,e-f/s,0.0008,wt%,2,2,0.0007,0.0009
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Hg,e-f/s,0.0000,wt%,3,5,0.0000,0.0000
OBS/BAU/REC/CIR,n/a,n/a,SLASH_slagsMetallurgical,10 06 01,n/a,n/a,Ho,e-f/s,0.0001,wt%,2,2,0.0001,0.0001
