Scenario,Year,Location,Stock/ID,Layer 1,Layer 2,Layer 3,Layer 4,parameterCode,Value,UoM,DQS,count_value,min_value,max_value
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Al,e-f/s,8.2563,wt%,2,5,3.9112,12.4903
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Ca,e-f/s,4.4311,wt%,2,5,2.9517,14.0794
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Ce,e-f/s,0.0404,wt%,2,10,0.0076,0.0729
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Dy,e-f/s,0.0021,wt%,2,10,0.0003,0.0043
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Er,e-f/s,0.0014,wt%,2,10,0.0002,0.0022
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Eu,e-f/s,0.0004,wt%,2,10,0.0001,0.0014
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Fe,e-f/s,30.2851,wt%,2,5,29.4458,33.0269
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Ga,e-f/s,0.0115,wt%,2,1,0.0115,0.0115
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Gd,e-f/s,0.0017,wt%,2,10,0.0001,0.0022
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Ho,e-f/s,0.0004,wt%,2,10,0.0001,0.0008
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,La,e-f/s,0.0123,wt%,2,10,0.0019,0.0356
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Lu,e-f/s,0.0002,wt%,2,10,0.0000,0.0003
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Na,e-f/s,3.1529,wt%,2,4,1.7805,6.0832
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Nd,e-f/s,0.0106,wt%,2,10,0.0016,0.0347
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Pr,e-f/s,0.0029,wt%,2,10,0.0005,0.0103
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,REE,e-f/s,0.1020,wt%,2,1,0.1020,0.1020
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Sc,e-f/s,0.0085,wt%,2,3,0.0075,0.0121
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Si,e-f/s,4.3939,wt%,2,5,1.4304,6.3104
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Sm,e-f/s,0.0021,wt%,2,10,0.0003,0.0068
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Tb,e-f/s,0.0003,wt%,2,10,0.0003,0.0052
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Ti,e-f/s,3.5361,wt%,2,5,3.1166,5.4061
OBS/BAU/REC/CIR,n/a,n/a,SLASH_sludgesMetallurgical,01 03 09,n/a,n/a,Tm,e-f/s,0.0002,wt%,2,10,0.0000,0.0003
